RUT,Nombre cliente,Dirección cliente,Fecha de Pedido,Número de Orden,Monto Pedido,Fecha de despacho Solicitada,Comuna
8.465.175-9,Cliente 8465175,"Calle Huérfanos 5159, Santiago, Chile",2026-12-08,ORD-CL-202612-000913,173687,2026-12-10,Santiago
10.884.364-8,Cliente Nuevo 10884364,"Avenida Santa Rosa 5380, Santiago, Chile",2026-12-01,ORD-CL-202612-000205,84205,2026-12-04,La Florida
9.035.343-5,Cliente 9035343,"Calle San Antonio 9169, Santiago, Chile",2026-12-17,ORD-CL-202612-002254,205153,2026-12-19,La Reina
15.518.813-9,Cliente Nuevo 15518813,"Avenida Vitacura 843, Santiago, Chile",2026-12-15,ORD-CL-202612-002007,84016,2026-12-18,Las Condes
11.669.766-7,Cliente Nuevo 11669766,"Avenida Kennedy 5651, Santiago, Chile",2026-12-14,ORD-CL-202612-001829,185127,2026-12-16,Independencia
11.824.078-2,Cliente 11824078,"Avenida Matta 9009, Santiago, Chile",2026-12-10,ORD-CL-202612-001144,75082,2026-12-12,Vitacura
10.411.606-1,Cliente Nuevo 10411606,"Calle Santo Domingo 6777, Santiago, Chile",2026-12-07,ORD-CL-202612-000840,109043,2026-12-10,Vitacura
14.957.228-2,Cliente 14957228,"Avenida Mapocho 934, Santiago, Chile",2026-12-06,ORD-CL-202612-000713,129479,2026-12-09,La Reina
9.689.641-2,Cliente Nuevo 9689641,"Avenida Tobalaba 2551, Santiago, Chile",2026-12-26,ORD-CL-202612-003457,211391,2026-12-29,Independencia
17.416.421-8,Cliente 17416421,"Avenida Libertador Bernardo O'Higgins 8614, Santiago, Chile",2026-12-02,ORD-CL-202612-000261,280640,2026-12-06,Puente Alto
19.398.473-2,Cliente Nuevo 19398473,"Avenida Manuel Montt 6079, Santiago, Chile",2026-12-02,ORD-CL-202612-000245,253065,2026-12-04,Recoleta
12.088.641-7,Cliente Nuevo 12088641,"Avenida Vitacura 8761, Santiago, Chile",2026-12-06,ORD-CL-202612-000768,247807,2026-12-08,Vitacura
16.513.297-6,Cliente Nuevo 16513297,"Avenida Matta 4483, Santiago, Chile",2026-12-14,ORD-CL-202612-001792,80129,2026-12-18,La Reina
10.246.672-3,Cliente Nuevo 10246672,"Calle Monjitas 702, Santiago, Chile",2026-12-15,ORD-CL-202612-001906,232264,2026-12-17,Santiago
13.139.013-9,Cliente Nuevo 13139013,"Avenida Vicuña Mackenna 9865, Santiago, Chile",2026-12-31,ORD-CL-202612-004140,166543,2027-01-04,La Reina
12.725.879-1,Cliente Nuevo 12725879,"Avenida Mapocho 6728, Santiago, Chile",2026-12-02,ORD-CL-202612-000218,156889,2026-12-05,Lo Prado
7.133.217-9,Cliente Nuevo 7133217,"Avenida Departamental 4795, Santiago, Chile",2026-12-13,ORD-CL-202612-001629,289879,2026-12-15,Quinta Normal
17.155.797-7,Cliente 17155797,"Calle Santo Domingo 1864, Santiago, Chile",2026-12-26,ORD-CL-202612-003437,191511,2026-12-28,Las Condes
14.429.807-9,Cliente 14429807,"Avenida Apoquindo 6788, Santiago, Chile",2026-12-14,ORD-CL-202612-001806,227799,2026-12-16,Independencia
13.767.793-9,Cliente Nuevo 13767793,"Calle Amunátegui 9147, Santiago, Chile",2026-12-28,ORD-CL-202612-003680,147253,2027-01-01,Quinta Normal
11.462.126-0,Cliente 11462126,"Avenida Irarrázaval 5965, Santiago, Chile",2026-12-17,ORD-CL-202612-002279,100724,2026-12-19,Peñalolén
21.577.718-1,Cliente Nuevo 21577718,"Gran Avenida José Miguel Carrera 1092, Santiago, Chile",2026-12-01,ORD-CL-202612-000054,315308,2026-12-05,La Florida
17.846.844-9,Cliente 17846844,"Calle San Diego 2838, Santiago, Chile",2026-12-11,ORD-CL-202612-001308,193766,2026-12-14,Vitacura
5.433.342-8,Cliente 5433342,"Calle Arturo Prat 4641, Santiago, Chile",2026-12-26,ORD-CL-202612-003463,222568,2026-12-27,La Reina
14.683.119-6,Cliente Nuevo 14683119,"Avenida Departamental 820, Santiago, Chile",2026-12-21,ORD-CL-202612-002788,107499,2026-12-23,Puente Alto
20.915.589-0,Cliente 20915589,"Avenida Departamental 6509, Santiago, Chile",2026-12-17,ORD-CL-202612-002277,215309,2026-12-20,Quinta Normal
8.688.112-4,Cliente 8688112,"Avenida Irarrázaval 4204, Santiago, Chile",2026-12-11,ORD-CL-202612-001274,81580,2026-12-12,Peñalolén
16.783.720-7,Cliente 16783720,"Avenida Departamental 8393, Santiago, Chile",2026-12-14,ORD-CL-202612-001764,244287,2026-12-17,Santiago
14.819.473-1,Cliente 14819473,"Avenida Grecia 6127, Santiago, Chile",2026-12-21,ORD-CL-202612-002758,180518,2026-12-23,Puente Alto
11.504.160-7,Cliente 11504160,"Calle Morandé 2308, Santiago, Chile",2026-12-07,ORD-CL-202612-000838,166502,2026-12-11,La Florida
10.338.580-7,Cliente 10338580,"Avenida Kennedy 6273, Santiago, Chile",2026-12-06,ORD-CL-202612-000760,216238,2026-12-11,Estación Central
14.583.210-8,Cliente 14583210,"Avenida Pedro De Valdivia 3769, Santiago, Chile",2026-12-23,ORD-CL-202612-003113,111983,2026-12-25,San Miguel
6.510.243-9,Cliente Nuevo 6510243,"Avenida Kennedy 5882, Santiago, Chile",2026-12-07,ORD-CL-202612-000793,73457,2026-12-09,Peñalolén
18.197.694-3,Cliente Nuevo 18197694,"Avenida Las Condes 1349, Santiago, Chile",2026-12-22,ORD-CL-202612-002941,194882,2026-12-27,Santiago
20.320.279-3,Cliente Nuevo 20320279,"Calle San Antonio 2616, Santiago, Chile",2026-12-21,ORD-CL-202612-002818,125916,2026-12-24,La Florida
