RUT,Nombre cliente,Dirección cliente,Fecha de Pedido,Número de Orden,Monto Pedido,Fecha de despacho Solicitada,Comuna
14.512.240-4,Cliente Nuevo 14512240,"Avenida Matta 5370, Santiago, Chile",2026-12-01,ORD-CL-202612-000001,123929,2026-12-02,Estación Central
17.313.403-1,Cliente 17313403,"Avenida La Florida 7678, Santiago, Chile",2026-12-01,ORD-CL-202612-000002,118942,2026-12-03,Santiago
7.941.056-6,Cliente Nuevo 7941056,"Avenida Kennedy 5315, Santiago, Chile",2026-12-01,ORD-CL-202612-000003,115798,2026-12-04,Independencia
18.305.966-9,Cliente 18305966,"Calle San Antonio 8832, Santiago, Chile",2026-12-01,ORD-CL-202612-000004,240273,2026-12-03,Lo Prado
20.329.309-9,Cliente Nuevo 20329309,"Calle Catedral 6899, Santiago, Chile",2026-12-01,ORD-CL-202612-000005,230875,2026-12-04,Independencia
20.741.726-2,Cliente Nuevo 20741726,"Calle Catedral 9181, Santiago, Chile",2026-12-01,ORD-CL-202612-000006,125517,2026-12-03,Puente Alto
17.709.152-5,Cliente Nuevo 17709152,"Calle Estado 5634, Santiago, Chile",2026-12-01,ORD-CL-202612-000007,154260,2026-12-04,Estación Central
8.336.332-0,Cliente Nuevo 8336332,"Avenida Manuel Montt 685, Santiago, Chile",2026-12-01,ORD-CL-202612-000008,291166,2026-12-04,Recoleta
8.823.811-3,Cliente 8823811,"Avenida Kennedy 7331, Santiago, Chile",2026-12-01,ORD-CL-202612-000009,187109,2026-12-03,Independencia
6.283.572-5,Cliente 6283572,"Avenida Américo Vespucio 2389, Santiago, Chile",2026-12-01,ORD-CL-202612-000010,192370,2026-12-03,Independencia
18.195.149-6,Cliente 18195149,"Avenida Pajaritos 5435, Santiago, Chile",2026-12-01,ORD-CL-202612-000011,140619,2026-12-03,Santiago
11.565.215-0,Cliente Nuevo 11565215,"Avenida Grecia 5499, Santiago, Chile",2026-12-01,ORD-CL-202612-000012,69556,2026-12-04,Providencia
9.933.788-8,Cliente 9933788,"Avenida Manuel Montt 401, Santiago, Chile",2026-12-01,ORD-CL-202612-000013,131893,2026-12-03,Vitacura
10.794.720-1,Cliente Nuevo 10794720,"Calle San Antonio 9747, Santiago, Chile",2026-12-01,ORD-CL-202612-000014,79764,2026-12-04,Puente Alto
9.347.581-0,Cliente Nuevo 9347581,"Calle Morandé 6751, Santiago, Chile",2026-12-01,ORD-CL-202612-000015,229269,2026-12-03,Estación Central
18.460.722-8,Cliente Nuevo 18460722,"Avenida Apoquindo 2937, Santiago, Chile",2026-12-01,ORD-CL-202612-000016,267477,2026-12-06,Peñalolén
14.945.612-5,Cliente Nuevo 14945612,"Avenida Matta 4672, Santiago, Chile",2026-12-01,ORD-CL-202612-000017,84124,2026-12-03,Las Condes
18.484.174-2,Cliente Nuevo 18484174,"Calle Santo Domingo 6604, Santiago, Chile",2026-12-01,ORD-CL-202612-000018,90367,2026-12-04,La Florida
15.682.091-5,Cliente 15682091,"Avenida Tobalaba 3402, Santiago, Chile",2026-12-01,ORD-CL-202612-000019,180085,2026-12-03,Santiago
10.263.868-8,Cliente 10263868,"Avenida Manuel Montt 3031, Santiago, Chile",2026-12-01,ORD-CL-202612-000020,226689,2026-12-03,Santiago
21.785.699-3,Cliente 21785699,"Avenida Apoquindo 4280, Santiago, Chile",2026-12-01,ORD-CL-202612-000021,183858,2026-12-03,Independencia
16.946.891-7,Cliente 16946891,"Avenida Pajaritos 7516, Santiago, Chile",2026-12-01,ORD-CL-202612-000022,124770,2026-12-03,Santiago
15.460.916-7,Cliente 15460916,"Calle Bandera 7800, Santiago, Chile",2026-12-01,ORD-CL-202612-000023,92650,2026-12-04,Puente Alto
5.335.185-2,Cliente Nuevo 5335185,"Avenida Apoquindo 5706, Santiago, Chile",2026-12-01,ORD-CL-202612-000024,58647,2026-12-03,La Florida
22.476.617-7,Cliente Nuevo 22476617,"Calle Teatinos 6266, Santiago, Chile",2026-12-01,ORD-CL-202612-000025,255160,2026-12-03,Providencia
17.573.126-3,Cliente 17573126,"Calle San Antonio 1509, Santiago, Chile",2026-12-01,ORD-CL-202612-000026,174809,2026-12-03,Providencia
7.499.276-7,Cliente 7499276,"Calle Compañía De Jesús 5241, Santiago, Chile",2026-12-01,ORD-CL-202612-000027,137864,2026-12-03,Providencia
12.883.674-1,Cliente Nuevo 12883674,"Avenida Irarrázaval 9906, Santiago, Chile",2026-12-01,ORD-CL-202612-000028,118119,2026-12-05,Independencia
22.149.970-6,Cliente Nuevo 22149970,"Calle Compañía De Jesús 7303, Santiago, Chile",2026-12-01,ORD-CL-202612-000029,161307,2026-12-04,Independencia
20.757.511-0,Cliente 20757511,"Avenida Vicuña Mackenna 154, Santiago, Chile",2026-12-01,ORD-CL-202612-000030,229074,2026-12-04,Recoleta
14.317.726-4,Cliente 14317726,"Avenida La Florida 1002, Santiago, Chile",2026-12-01,ORD-CL-202612-000031,170357,2026-12-03,Peñalolén
8.395.310-4,Cliente Nuevo 8395310,"Gran Avenida José Miguel Carrera 1084, Santiago, Chile",2026-12-01,ORD-CL-202612-000032,124759,2026-12-03,La Florida
15.022.998-1,Cliente 15022998,"Avenida Providencia 1687, Santiago, Chile",2026-12-01,ORD-CL-202612-000033,99454,2026-12-02,La Reina
18.190.145-8,Cliente Nuevo 18190145,"Avenida Matta 7432, Santiago, Chile",2026-12-01,ORD-CL-202612-000034,255441,2026-12-04,Peñalolén
18.489.688-3,Cliente 18489688,"Avenida Kennedy 5660, Santiago, Chile",2026-12-01,ORD-CL-202612-000035,259234,2026-12-04,Estación Central
5.882.244-8,Cliente Nuevo 5882244,"Calle Merced 8895, Santiago, Chile",2026-12-01,ORD-CL-202612-000036,329568,2026-12-04,Quinta Normal
13.872.638-3,Cliente Nuevo 13872638,"Calle Amunátegui 5971, Santiago, Chile",2026-12-01,ORD-CL-202612-000037,51456,2026-12-04,Santiago
15.199.393-7,Cliente Nuevo 15199393,"Avenida Irarrázaval 1804, Santiago, Chile",2026-12-01,ORD-CL-202612-000038,88071,2026-12-04,Santiago
6.495.658-2,Cliente 6495658,"Avenida Tobalaba 9986, Santiago, Chile",2026-12-01,ORD-CL-202612-000039,54521,2026-12-03,Las Condes
20.473.461-3,Cliente Nuevo 20473461,"Avenida Libertador Bernardo O'Higgins 1672, Santiago, Chile",2026-12-01,ORD-CL-202612-000040,61345,2026-12-04,Peñalolén
5.884.281-4,Cliente 5884281,"Avenida Grecia 8422, Santiago, Chile",2026-12-01,ORD-CL-202612-000041,107532,2026-12-04,Peñalolén
7.133.217-9,Cliente Nuevo 7133217,"Avenida Departamental 4795, Santiago, Chile",2026-12-01,ORD-CL-202612-000042,74718,2026-12-02,Quinta Normal
10.469.153-4,Cliente 10469153,"Avenida La Florida 9689, Santiago, Chile",2026-12-01,ORD-CL-202612-000043,101590,2026-12-04,Quinta Normal
14.503.617-7,Cliente 14503617,"Avenida Tobalaba 5892, Santiago, Chile",2026-12-01,ORD-CL-202612-000044,94377,2026-12-03,Quinta Normal
7.498.317-5,Cliente Nuevo 7498317,"Avenida Apoquindo 7097, Santiago, Chile",2026-12-01,ORD-CL-202612-000045,71728,2026-12-03,Vitacura
7.686.773-4,Cliente Nuevo 7686773,"Avenida Manuel Montt 4785, Santiago, Chile",2026-12-01,ORD-CL-202612-000046,58778,2026-12-04,Providencia
14.175.945-6,Cliente Nuevo 14175945,"Avenida Pajaritos 3788, Santiago, Chile",2026-12-01,ORD-CL-202612-000047,180072,2026-12-04,La Reina
7.062.851-9,Cliente Nuevo 7062851,"Avenida Las Condes 2824, Santiago, Chile",2026-12-01,ORD-CL-202612-000048,76722,2026-12-04,Independencia
11.110.125-3,Cliente Nuevo 11110125,"Avenida Grecia 7712, Santiago, Chile",2026-12-01,ORD-CL-202612-000049,112421,2026-12-03,Recoleta
12.334.420-8,Cliente Nuevo 12334420,"Calle Teatinos 7022, Santiago, Chile",2026-12-01,ORD-CL-202612-000050,163034,2026-12-05,Providencia
16.445.432-1,Cliente Nuevo 16445432,"Avenida Santa Rosa 8652, Santiago, Chile",2026-12-01,ORD-CL-202612-000051,331791,2026-12-05,Peñalolén
14.976.779-6,Cliente 14976779,"Avenida Irarrázaval 8302, Santiago, Chile",2026-12-01,ORD-CL-202612-000052,82669,2026-12-03,Santiago
17.777.808-6,Cliente 17777808,"Avenida Libertador Bernardo O'Higgins 5746, Santiago, Chile",2026-12-01,ORD-CL-202612-000053,152527,2026-12-04,Santiago
21.577.718-1,Cliente Nuevo 21577718,"Gran Avenida José Miguel Carrera 1092, Santiago, Chile",2026-12-01,ORD-CL-202612-000054,315308,2026-12-05,La Florida
20.317.971-7,Cliente Nuevo 20317971,"Avenida Mapocho 6648, Santiago, Chile",2026-12-01,ORD-CL-202612-000055,283566,2026-12-03,Santiago
17.709.152-5,Cliente Nuevo 17709152,"Calle Estado 5634, Santiago, Chile",2026-12-01,ORD-CL-202612-000056,153719,2026-12-04,Estación Central
19.942.029-2,Cliente 19942029,"Calle Bandera 7833, Santiago, Chile",2026-12-01,ORD-CL-202612-000057,193622,2026-12-04,Santiago
11.129.072-4,Cliente 11129072,"Avenida Departamental 6137, Santiago, Chile",2026-12-01,ORD-CL-202612-000058,192878,2026-12-04,Recoleta
9.032.352-7,Cliente 9032352,"Calle Compañía De Jesús 1673, Santiago, Chile",2026-12-01,ORD-CL-202612-000059,52565,2026-12-05,La Florida
19.994.164-4,Cliente 19994164,"Avenida Macul 7795, Santiago, Chile",2026-12-01,ORD-CL-202612-000060,145322,2026-12-03,Santiago
18.051.800-7,Cliente Nuevo 18051800,"Avenida Manuel Montt 5734, Santiago, Chile",2026-12-01,ORD-CL-202612-000061,91564,2026-12-03,Independencia
7.640.094-3,Cliente Nuevo 7640094,"Calle San Antonio 9379, Santiago, Chile",2026-12-01,ORD-CL-202612-000062,64250,2026-12-03,Lo Prado
9.444.321-7,Cliente Nuevo 9444321,"Avenida Mapocho 5244, Santiago, Chile",2026-12-01,ORD-CL-202612-000063,99852,2026-12-04,Vitacura
10.825.499-3,Cliente Nuevo 10825499,"Calle Teatinos 1289, Santiago, Chile",2026-12-01,ORD-CL-202612-000064,132830,2026-12-02,Independencia
12.508.817-7,Cliente 12508817,"Avenida Grecia 5637, Santiago, Chile",2026-12-01,ORD-CL-202612-000065,81286,2026-12-04,Recoleta
9.682.276-0,Cliente 9682276,"Calle Teatinos 5180, Santiago, Chile",2026-12-01,ORD-CL-202612-000066,206162,2026-12-03,Vitacura
12.592.663-1,Cliente Nuevo 12592663,"Avenida Santa Rosa 1012, Santiago, Chile",2026-12-01,ORD-CL-202612-000067,126717,2026-12-04,Puente Alto
16.822.988-5,Cliente 16822988,"Calle Teatinos 1540, Santiago, Chile",2026-12-01,ORD-CL-202612-000068,78589,2026-12-04,Providencia
14.331.931-2,Cliente Nuevo 14331931,"Avenida Pedro De Valdivia 8517, Santiago, Chile",2026-12-01,ORD-CL-202612-000069,134426,2026-12-03,Lo Prado
16.548.853-1,Cliente 16548853,"Avenida Américo Vespucio 6473, Santiago, Chile",2026-12-01,ORD-CL-202612-000070,184828,2026-12-05,Santiago
21.219.636-4,Cliente 21219636,"Avenida Pajaritos 3626, Santiago, Chile",2026-12-01,ORD-CL-202612-000071,88539,2026-12-03,Estación Central
16.508.612-7,Cliente Nuevo 16508612,"Avenida Vitacura 8184, Santiago, Chile",2026-12-01,ORD-CL-202612-000072,175782,2026-12-05,Recoleta
14.172.902-8,Cliente Nuevo 14172902,"Calle Arturo Prat 4790, Santiago, Chile",2026-12-01,ORD-CL-202612-000073,173787,2026-12-05,La Florida
7.133.217-9,Cliente Nuevo 7133217,"Avenida Departamental 4795, Santiago, Chile",2026-12-01,ORD-CL-202612-000074,108644,2026-12-04,Quinta Normal
